,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
778,g867,10,48.18340167,0,Stelasyn,Female,9,25
1291,a699,10,47.86737569,0,Propriva,Female,5,28
1156,s152,10,52.1816442,2,Placebo,Female,4,30
1162,c766,10,49.50027098,1,Placebo,Female,13,26
802,c402,10,50.56689412,1,Stelasyn,Female,1,27
1147,n763,10,46.81731526,1,Placebo,Female,16,25
1723,l509,10,46.75907363,0,Capomulin,Male,17,21
1733,s710,10,43.68802627,0,Capomulin,Female,1,23
768,k862,10,50.52355007,1,Stelasyn,Female,13,25
792,j984,10,50.14108401,1,Stelasyn,Female,2,30
1437,s121,10,49.04883479,1,Infubinol,Male,23,26
1757,j119,10,46.42536551,0,Capomulin,Female,7,23
1197,v409,10,50.64903842,1,Placebo,Female,16,25
1847,w150,10,39.95234669,0,Capomulin,Male,23,23
676,z795,10,48.0308039,0,Naftisol,Female,13,29
1232,x773,10,47.18920597,2,Placebo,Female,21,30
1850,t565,10,46.74900552,0,Capomulin,Female,20,17
672,v764,10,48.18900062,1,Stelasyn,Female,5,30
1860,i557,10,42.99207658,0,Capomulin,Female,1,24
666,w540,10,47.45906658,1,Stelasyn,Female,8,26
1229,s166,10,49.00012468,0,Placebo,Male,19,27
1201,o795,10,51.1237037,1,Placebo,Female,20,26
1870,m957,10,46.414517700000005,1,Capomulin,Female,3,19
656,a492,10,48.43219661,0,Stelasyn,Male,20,25
1880,f966,10,35.6244027,0,Capomulin,Male,16,17
1221,q582,10,47.01357514,1,Placebo,Male,5,30
649,r921,10,42.71192694,0,Ramicane,Female,5,25
1885,m601,10,36.82536664,1,Capomulin,Male,22,17
1211,y478,10,52.28893409,1,Placebo,Female,3,25
686,e291,10,48.52974125,1,Naftisol,Female,14,29
748,b879,10,50.33894583,1,Stelasyn,Female,4,26
1837,l897,10,46.15473721,0,Capomulin,Male,17,19
692,e584,10,47.25064148,0,Naftisol,Male,9,27
1267,i477,10,47.52063206,0,Placebo,Female,3,30
739,p387,10,53.36296294,0,Stelasyn,Male,3,30
1767,v923,10,39.84822328,0,Capomulin,Female,19,21
1182,c282,10,48.17950638,0,Placebo,Male,12,27
732,a366,10,53.52399007,0,Stelasyn,Female,16,29
1777,w914,10,43.23196275,0,Capomulin,Male,24,21
1260,o302,10,49.70144989,0,Placebo,Female,2,29
1787,i738,10,43.42101414,0,Capomulin,Female,23,20
722,s565,10,52.77752710000001,0,Stelasyn,Female,3,29
1797,r944,10,46.54429202,0,Capomulin,Male,12,25
712,j755,10,48.16706083,0,Naftisol,Male,23,27
1192,v989,10,52.61468889,1,Placebo,Male,4,25
1807,y793,10,41.63001026,1,Capomulin,Male,17,17
1817,g316,10,44.50204246,0,Capomulin,Female,22,22
1250,t718,10,46.39268805,1,Placebo,Female,10,30
702,e213,10,47.39157120000001,2,Naftisol,Male,8,27
1827,g288,10,46.30400254,1,Capomulin,Male,3,19
1242,w167,10,51.82640965,0,Placebo,Female,6,28
819,k510,10,47.65824979999999,1,Stelasyn,Female,8,27
1137,r850,10,48.51509085,1,Placebo,Male,5,30
1672,l264,10,50.65958094,0,Ketapril,Female,15,30
1501,t198,10,49.00080978,1,Propriva,Male,22,26
974,x613,10,46.81817589999999,0,Zoniferol,Female,2,29
1511,l215,10,53.653969599999996,1,Propriva,Male,10,29
964,w575,10,50.13595547,1,Zoniferol,Female,16,28
1387,j296,10,48.52997762,2,Ceftamin,Female,24,30
1514,s141,10,47.23569156,0,Propriva,Male,8,25
1072,a401,10,47.7259374,1,Zoniferol,Female,8,25
961,d164,10,47.47464468,1,Zoniferol,Male,21,28
1521,o523,10,47.0810859,1,Propriva,Female,6,25
951,g296,10,48.26950861,0,Zoniferol,Female,14,29
1524,i635,10,48.68575605,1,Propriva,Male,21,26
1377,l661,10,49.68361956,0,Ceftamin,Male,18,26
1082,w350,10,48.89955238,0,Propriva,Male,7,26
1536,r107,10,49.18601052,0,Propriva,Female,2,28
936,k894,10,49.27287011,1,Zoniferol,Female,13,29
1367,y769,10,48.01516261,1,Ceftamin,Female,6,27
1543,s187,10,48.14635121,1,Propriva,Male,22,25
1397,u149,10,47.40483439,0,Ceftamin,Male,24,29
926,f545,10,51.07251225,0,Zoniferol,Female,20,26
978,q633,10,49.00186559,0,Zoniferol,Male,12,25
1404,w151,10,46.50147609,1,Ceftamin,Male,24,25
1035,s337,10,47.8944415,0,Zoniferol,Male,14,27
1045,q511,10,50.31164687,0,Zoniferol,Female,2,28
1028,a788,10,50.15972132,1,Zoniferol,Male,5,30
1443,v766,10,50.36310988,1,Infubinol,Male,16,27
1447,w193,10,48.34655046,0,Infubinol,Male,22,30
1018,c559,10,47.29326012,0,Zoniferol,Female,19,28
1055,m331,10,47.64687735,1,Zoniferol,Female,19,26
1008,p136,10,50.90789028,0,Zoniferol,Female,5,28
1452,e476,10,49.43168536,0,Infubinol,Male,23,26
1416,a685,10,47.66475264,0,Infubinol,Male,8,30
1462,w584,10,47.29850794,0,Infubinol,Male,3,29
998,j365,10,48.34932028,0,Zoniferol,Male,24,28
1059,o926,10,47.56567364,1,Zoniferol,Male,15,29
994,f129,10,48.17971908,1,Zoniferol,Female,11,29
1470,k210,10,49.37993231,0,Ceftamin,Male,15,28
988,b313,10,48.31937218,1,Zoniferol,Male,12,27
1480,a275,10,47.37134328,0,Ceftamin,Female,20,28
1490,x581,10,49.06702788,1,Ceftamin,Female,19,28
1357,y865,10,49.52273955,1,Ceftamin,Male,23,26
1550,g570,10,49.18823167,1,Propriva,Male,16,29
1092,c302,10,48.53356704,1,Zoniferol,Female,10,29
1616,p438,10,50.51749789,0,Ceftamin,Female,11,26
865,g989,10,49.880527799999996,0,Propriva,Female,21,26
864,g989,10,51.74515613,0,Propriva,Female,21,26
1127,a262,10,49.59518129,1,Placebo,Female,17,29
1626,b487,10,47.664387100000006,0,Ceftamin,Female,6,28
1319,l733,10,48.35495154,0,Ceftamin,Female,4,30
1632,o287,10,47.36020084,1,Ceftamin,Male,2,28
852,m269,10,50.86013006,0,Stelasyn,Female,22,28
1642,q483,10,47.8391005,1,Ceftamin,Male,6,26
1430,n671,10,51.03935653,0,Infubinol,Male,18,25
842,a963,10,47.15052201,0,Stelasyn,Female,23,27
1316,l558,10,46.78453491,0,Ceftamin,Female,13,30
1652,f345,10,47.22244619,0,Infubinol,Male,23,26
832,t451,10,48.95791906,0,Stelasyn,Male,8,29
1662,i334,10,41.63124731,0,Ramicane,Female,8,20
1306,x822,10,48.98371668,1,Ceftamin,Male,3,29
824,p981,10,47.54584585,0,Stelasyn,Male,20,29
1329,f436,10,48.14697758,2,Ceftamin,Female,3,25
1606,c927,10,50.96529767,1,Propriva,Female,4,26
1117,q787,10,48.59386234,1,Placebo,Male,17,27
1596,v991,10,52.6449057,1,Propriva,Female,10,30
922,n967,10,47.47172327,1,Zoniferol,Male,11,27
1560,x209,10,48.92989543,0,Propriva,Female,7,29
1347,l471,10,48.18206306,0,Ceftamin,Female,7,28
1563,x111,10,49.12296898,1,Propriva,Female,24,27
912,c264,10,49.02659196,0,Zoniferol,Female,11,27
1102,a897,10,47.97292708,1,Placebo,Male,7,28
1566,z435,10,48.71066147,0,Propriva,Female,12,26
900,a203,10,51.852437200000004,1,Infubinol,Female,20,23
1141,i669,10,48.2816334,1,Placebo,Female,18,27
1569,n678,10,49.14570866,1,Propriva,Male,5,29
1572,g558,10,50.09475382,0,Propriva,Male,8,29
1340,b759,10,49.13335499,0,Ceftamin,Female,12,25
893,c895,10,49.77901542,0,Infubinol,Female,7,29
1581,u946,10,46.73050592,1,Propriva,Male,5,30
883,q597,10,42.53798598,0,Ramicane,Male,20,25
1333,l490,10,47.25960594,1,Ceftamin,Male,24,26
1586,o562,10,47.14767002,1,Propriva,Female,4,25
878,v719,10,51.49705412,1,Infubinol,Female,17,30
1112,j235,10,48.01878792,1,Placebo,Male,6,30
1280,t994,10,52.614163500000004,1,Placebo,Male,14,30
946,k754,10,49.74611666,0,Zoniferol,Female,8,26
399,m550,10,50.54803457,2,Ketapril,Male,18,28
164,v295,10,47.53946216,2,Naftisol,Female,2,27
567,g791,10,40.17055848,0,Ramicane,Male,11,16
205,w422,10,49.93597024,0,Ketapril,Female,18,26
158,m133,10,47.50333803,0,Naftisol,Female,2,26
308,q132,10,47.95384377,2,Infubinol,Female,1,30
517,c758,10,46.28799223,0,Ramicane,Male,9,17
453,j913,10,44.49716216,0,Ramicane,Female,4,17
619,s508,10,34.850997899999996,0,Ramicane,Male,1,17
438,c458,10,44.45437828,1,Ramicane,Female,23,20
430,f234,10,47.90432375,0,Stelasyn,Male,14,28
82,y260,10,48.08180678,1,Ketapril,Female,7,25
24,c819,10,46.65839527,1,Ketapril,Male,21,25
557,i177,10,41.02092924,0,Ramicane,Male,10,18
62,q119,10,51.23660557,0,Ketapril,Male,17,30
246,k483,10,50.29604123,1,Infubinol,Female,20,30
393,v289,10,48.13348207,0,Ketapril,Female,3,26
33,h246,10,51.36886216,1,Ketapril,Male,13,30
410,r701,10,49.65459636,0,Naftisol,Male,21,25
282,a251,10,48.59117901,1,Infubinol,Female,21,25
173,a818,10,49.79091948,0,Naftisol,Female,12,28
597,m546,10,43.74822357,0,Ramicane,Male,18,16
421,x264,10,47.88712765,1,Naftisol,Female,21,27
503,y449,10,46.37809248,0,Ramicane,Male,19,24
256,k804,10,49.47124419,0,Infubinol,Female,23,29
301,c580,10,47.57017382,1,Ketapril,Male,22,25
507,k403,10,35.01427146,1,Ramicane,Male,21,16
483,d251,10,42.43225791,1,Ramicane,Female,8,19
292,i386,10,49.86154739,2,Infubinol,Female,23,29
577,a520,10,36.42938781,0,Ramicane,Male,13,21
98,o725,10,48.199452,0,Naftisol,Male,4,26
195,k382,10,50.18096763,1,Ketapril,Male,22,29
102,z969,10,52.65608148,1,Naftisol,Male,9,30
609,n364,10,40.3751382,0,Ramicane,Male,4,17
43,p189,10,51.58216168,2,Ketapril,Male,8,28
315,u327,10,49.23525948,0,Ketapril,Male,17,25
148,l725,10,50.82391154,2,Naftisol,Female,8,26
587,u196,10,46.42294306,1,Ramicane,Male,18,25
537,r811,10,39.453903000000004,0,Ramicane,Male,9,19
217,c139,10,49.99295391,0,Infubinol,Male,11,28
373,o331,10,50.12845481,1,Ketapril,Male,24,30
493,j989,10,46.34383237,1,Ramicane,Male,8,19
345,d474,10,46.97496297,0,Ketapril,Male,18,27
72,b559,10,48.03643202,0,Naftisol,Male,20,26
117,r604,10,48.78655957,1,Naftisol,Male,7,30
363,c832,10,49.81141262,1,Ketapril,Male,18,29
2,b128,10,43.2708519,0,Capomulin,Female,9,22
473,a444,10,44.51255951,0,Ramicane,Female,10,25
547,a644,10,46.38071258,0,Ramicane,Female,7,17
354,o973,10,48.24579043,0,Ketapril,Female,11,29
127,n304,10,47.20125097,0,Naftisol,Male,9,26
463,a411,10,40.75978762,1,Ramicane,Male,3,22
21,a457,10,49.78341894,0,Ketapril,Female,11,30
229,a577,10,49.5096389,1,Infubinol,Female,6,25
53,n923,10,48.79194986,1,Ketapril,Male,19,30
185,t724,10,50.70389965,0,Naftisol,Female,2,25
272,z581,10,50.47875016,2,Infubinol,Female,24,25
264,o809,10,48.6707318,0,Infubinol,Male,3,25
236,y163,10,49.112399100000005,1,Infubinol,Female,17,27
527,x402,10,46.88696249,1,Stelasyn,Male,21,28
383,m650,10,50.96899763,1,Ketapril,Male,15,27
65,f993,10,48.18537323,0,Naftisol,Male,21,28
629,e662,10,46.40908385,0,Ramicane,Male,8,24
112,v835,10,48.96591797,0,Naftisol,Male,7,29
325,v603,10,47.8305568,0,Ketapril,Female,22,30
92,x930,10,50.26069441,0,Naftisol,Male,13,26
639,z578,10,42.95211843,0,Ramicane,Male,11,16
137,l700,10,47.01356652,1,Naftisol,Female,18,27
13,g107,10,53.43598668,0,Ketapril,Female,2,29
335,g497,10,49.6470865,0,Ketapril,Male,19,28
445,q610,10,44.99148471,0,Ramicane,Female,18,21
196,k382,15,54.42916821,1,Ketapril,Male,22,29
640,z578,15,38.68851607,0,Ramicane,Male,11,16
1502,t198,15,49.781180799999994,2,Propriva,Male,22,26
484,d251,15,39.47278744,1,Ramicane,Female,8,19
1491,x581,15,49.74642744,2,Ceftamin,Female,19,28
965,w575,15,50.86745176,1,Zoniferol,Female,16,28
206,w422,15,52.24630985,0,Ketapril,Female,18,26
1481,a275,15,49.73440359,0,Ceftamin,Female,20,28
975,x613,15,48.0776464,0,Zoniferol,Female,2,29
474,a444,15,43.00127957,0,Ramicane,Female,10,25
979,q633,15,50.583557299999995,1,Zoniferol,Male,12,25
1471,k210,15,51.07355752,0,Ceftamin,Male,15,28
218,c139,15,51.8332246,0,Infubinol,Male,11,28
952,g296,15,49.65324404,1,Zoniferol,Female,14,29
1515,s141,15,49.23234538,1,Propriva,Male,8,25
1544,s187,15,52.08163225,1,Propriva,Male,22,25
494,j989,15,41.12835439,1,Ramicane,Male,8,19
1582,u946,15,47.67302921,1,Propriva,Male,5,30
884,q597,15,41.39566036,0,Ramicane,Male,20,25
1587,o562,15,51.50508551,1,Propriva,Female,4,25
879,v719,15,52.60910758,1,Infubinol,Female,17,30
528,x402,15,49.11994779999999,1,Stelasyn,Male,21,28
138,l700,15,49.04022529,1,Naftisol,Female,18,27
1573,g558,15,51.007258,0,Propriva,Male,8,29
1597,v991,15,54.588591,1,Propriva,Female,10,30
866,g989,15,51.32585207,1,Propriva,Female,21,26
1607,c927,15,53.26643087,1,Propriva,Female,4,26
538,r811,15,40.02229235,0,Ramicane,Male,9,19
128,n304,15,48.47797895,0,Naftisol,Male,9,26
1617,p438,15,52.19836818,0,Ceftamin,Female,11,26
853,m269,15,55.9053436,0,Stelasyn,Female,22,28
867,g989,15,53.44201976,0,Propriva,Female,21,26
518,c758,15,46.94094512,1,Ramicane,Male,9,17
894,c895,15,52.94946474,1,Infubinol,Female,7,29
149,l725,15,54.24456268,2,Naftisol,Female,8,26
186,t724,15,55.58461724,0,Naftisol,Female,2,25
937,k894,15,49.987765700000004,1,Zoniferol,Female,13,29
1525,i635,15,49.53689775,1,Propriva,Male,21,26
1537,r107,15,53.09033546,0,Propriva,Female,2,28
927,f545,15,53.94554429,1,Zoniferol,Female,20,26
1212,y478,15,53.61040585,1,Placebo,Female,3,25
923,n967,15,49.82500362,1,Zoniferol,Male,11,27
504,y449,15,44.18345092,0,Ramicane,Male,19,24
1463,w584,15,51.26543971,0,Infubinol,Male,3,29
1551,g570,15,52.6826954,1,Propriva,Male,16,29
913,c264,15,53.66494165,1,Zoniferol,Female,11,27
508,k403,15,34.22399174,1,Ramicane,Male,21,16
165,v295,15,50.66605391,2,Naftisol,Female,2,27
159,m133,15,48.6652074,1,Naftisol,Female,2,26
901,a203,15,52.7778705,1,Infubinol,Female,20,23
947,k754,15,51.32356994,0,Zoniferol,Female,8,26
989,b313,15,49.18838735,1,Zoniferol,Male,12,27
454,j913,15,45.25253427,0,Ramicane,Female,4,17
995,f129,15,49.98830246,1,Zoniferol,Female,11,29
1286,p310,15,49.77074144,1,Propriva,Male,6,26
1148,n763,15,47.79809961,1,Placebo,Female,16,25
1142,i669,15,48.857600700000006,1,Placebo,Female,18,27
394,v289,15,52.60216564,0,Ketapril,Female,3,26
1292,a699,15,49.53040137,0,Propriva,Female,5,28
1138,r850,15,50.21860469,1,Placebo,Male,5,30
400,m550,15,51.16606544,3,Ketapril,Male,18,28
316,u327,15,50.65996437,0,Ketapril,Male,17,25
309,q132,15,49.15974862,3,Infubinol,Female,1,30
1302,k603,15,48.775285499999995,0,Propriva,Male,2,27
1307,x822,15,49.69466533,1,Ceftamin,Male,3,29
302,c580,15,51.991708,1,Ketapril,Male,22,25
1118,q787,15,49.21773243,2,Placebo,Male,17,27
1113,j235,15,51.16113815,1,Placebo,Male,6,30
411,r701,15,52.48480443,0,Naftisol,Male,21,25
1320,l733,15,49.28519504,0,Ceftamin,Female,4,30
1128,a262,15,53.82797367,2,Placebo,Female,17,29
293,i386,15,51.73656088,2,Infubinol,Female,23,29
1281,t994,15,53.45863887,1,Placebo,Male,14,30
384,m650,15,53.14955933,1,Ketapril,Male,15,27
355,o973,15,49.87193582,0,Ketapril,Female,11,29
1222,q582,15,48.32264018,2,Placebo,Male,5,30
1202,o795,15,55.88633793,2,Placebo,Female,20,26
364,c832,15,52.86453449,1,Ketapril,Male,18,29
346,d474,15,47.77793584,0,Ketapril,Male,18,27
1233,x773,15,47.67123558,3,Placebo,Female,21,30
374,o331,15,54.78976769,1,Ketapril,Male,24,30
1157,s152,15,57.22498064,2,Placebo,Female,4,30
1243,w167,15,53.90048909,0,Placebo,Female,6,28
1251,t718,15,48.08512552,1,Placebo,Female,10,30
336,g497,15,53.64616804,1,Ketapril,Male,19,28
1261,o302,15,51.38148886,0,Placebo,Female,2,29
1173,e227,15,52.83394196,1,Placebo,Male,1,30
326,v603,15,52.10294744,0,Ketapril,Female,22,30
1271,c757,15,51.532603,0,Placebo,Male,9,27
1163,c766,15,50.59663325,2,Placebo,Female,13,26
1183,c282,15,49.26607873,0,Placebo,Male,12,27
1103,a897,15,52.34308525,2,Placebo,Male,7,28
1330,f436,15,48.72207785,2,Ceftamin,Female,3,25
1334,l490,15,50.52481268,1,Ceftamin,Male,24,26
1405,w151,15,47.24292865,1,Ceftamin,Male,24,25
1036,s337,15,48.57151582,0,Zoniferol,Male,14,27
1417,a685,15,48.95147442,0,Infubinol,Male,8,30
1029,a788,15,52.53994926,1,Zoniferol,Male,5,30
1627,b487,15,51.68325586,0,Ceftamin,Female,6,28
247,k483,15,53.24445813,1,Infubinol,Female,20,30
1431,n671,15,54.21606411,0,Infubinol,Male,18,25
257,k804,15,50.47761824,0,Infubinol,Female,23,29
1019,c559,15,51.41490358,1,Zoniferol,Female,19,28
1438,s121,15,50.82456031,2,Infubinol,Male,23,26
1009,p136,15,51.99141616,1,Zoniferol,Female,5,28
1444,v766,15,51.54243058,1,Infubinol,Male,16,27
230,a577,15,50.91500662,2,Infubinol,Female,6,25
1448,w193,15,49.38557373,0,Infubinol,Male,22,30
999,j365,15,49.58826336,0,Zoniferol,Male,24,28
464,a411,15,41.48416885,1,Ramicane,Male,3,22
237,y163,15,51.52306843,1,Infubinol,Female,17,27
446,q610,15,45.88902756,0,Ramicane,Female,18,21
1046,q511,15,52.13308139,0,Zoniferol,Female,2,28
1398,u149,15,48.52237343,0,Ceftamin,Male,24,29
1341,b759,15,51.58779906,0,Ceftamin,Female,12,25
1093,c302,15,52.71663459,2,Zoniferol,Female,10,29
422,x264,15,50.00231403,1,Naftisol,Female,21,27
283,a251,15,50.53445603,1,Infubinol,Female,21,25
1348,l471,15,49.40687901,0,Ceftamin,Female,7,28
1083,w350,15,50.8546323,1,Propriva,Male,7,26
1358,y865,15,50.80651856,1,Ceftamin,Male,23,26
273,z581,15,51.1963042,2,Infubinol,Female,24,25
1368,y769,15,52.76102114,2,Ceftamin,Female,6,27
1073,a401,15,49.93472542,1,Zoniferol,Female,8,25
431,f234,15,48.73519714,1,Stelasyn,Male,14,28
1378,l661,15,50.94754484,1,Ceftamin,Male,18,26
1060,o926,15,48.25424839,1,Zoniferol,Male,15,29
265,o809,15,49.68344504,1,Infubinol,Male,3,25
1388,j296,15,50.70127959,2,Ceftamin,Female,24,30
1056,m331,15,52.11008758,1,Zoniferol,Female,19,26
439,c458,15,45.10742313,2,Ramicane,Female,23,20
1453,e476,15,54.04621267,0,Infubinol,Male,23,26
1633,o287,15,48.67945261,1,Ceftamin,Male,2,28
174,a818,15,51.22756565,0,Naftisol,Female,12,28
843,a963,15,47.83685218,0,Stelasyn,Female,23,27
785,w697,15,52.65726519,2,Stelasyn,Female,14,30
703,e213,15,51.7916953,2,Naftisol,Male,8,27
610,n364,15,36.94027399,0,Ramicane,Male,4,17
1694,s185,15,38.17723195,0,Capomulin,Female,3,17
1818,g316,15,45.21674299,0,Capomulin,Female,22,22
568,g791,15,40.67812852,0,Ramicane,Male,11,16
793,j984,15,51.16675687,1,Stelasyn,Female,2,30
34,h246,15,56.18432701,1,Ketapril,Male,13,30
693,e584,15,48.43041053,1,Naftisol,Male,9,27
1828,g288,15,42.17230079,1,Capomulin,Male,3,19
1704,b742,15,39.52484301,0,Capomulin,Male,7,21
1684,r554,15,35.46375763,2,Capomulin,Female,8,17
687,e291,15,49.348426200000006,1,Naftisol,Female,14,29
803,c402,15,52.23071944,1,Stelasyn,Female,1,27
1838,l897,15,44.0615214,0,Capomulin,Male,17,19
1676,j246,15,43.31265415,0,Capomulin,Female,21,21
99,o725,15,50.01507902,1,Naftisol,Male,4,26
25,c819,15,48.37099912,1,Ketapril,Male,21,25
103,z969,15,54.71300452,2,Naftisol,Male,9,30
677,z795,15,49.36813189,1,Naftisol,Female,13,29
620,s508,15,35.27690634,0,Ramicane,Male,1,17
673,v764,15,49.41262418,2,Stelasyn,Female,5,30
93,x930,15,51.97376864,0,Naftisol,Male,13,26
1808,y793,15,42.28366512,1,Capomulin,Male,17,17
1798,r944,15,47.37342325,0,Capomulin,Male,12,25
713,j755,15,51.45397391,0,Naftisol,Male,23,27
1758,j119,15,47.32298428,0,Capomulin,Female,7,23
588,u196,15,47.22717065,1,Ramicane,Male,18,25
740,p387,15,55.25138033,0,Stelasyn,Male,3,30
749,b879,15,51.61838657,1,Stelasyn,Female,4,26
66,f993,15,49.10697473,1,Naftisol,Male,21,28
1744,r157,15,46.53920617,0,Capomulin,Male,22,25
73,b559,15,51.37886229,0,Naftisol,Male,20,26
54,n923,15,51.73870623,1,Ketapril,Male,19,30
759,i901,15,51.41964239,0,Stelasyn,Male,23,29
733,a366,15,55.26558163,0,Stelasyn,Female,16,29
1734,s710,15,41.84523536,0,Capomulin,Female,1,23
1768,v923,15,40.45798877,0,Capomulin,Female,19,21
598,m546,15,39.89743533,0,Ramicane,Male,18,16
1778,w914,15,43.68844893,0,Capomulin,Male,24,21
723,s565,15,54.32831664,1,Stelasyn,Female,3,29
1724,l509,15,47.48859931,1,Capomulin,Male,17,21
769,k862,15,54.47453362,1,Stelasyn,Female,13,25
1788,i738,15,37.97877782,0,Capomulin,Female,23,20
1714,x401,15,39.77625003,0,Capomulin,Female,16,15
44,p189,15,53.6755415,2,Ketapril,Male,8,28
83,y260,15,50.19615224,2,Ketapril,Female,7,25
578,a520,15,35.590253999999995,0,Ramicane,Male,13,21
779,g867,15,51.06041924,1,Stelasyn,Female,9,25
813,h333,15,50.69260358,2,Stelasyn,Male,21,27
1851,t565,15,44.44094861,0,Capomulin,Female,20,17
1748,u364,15,47.21219992,2,Capomulin,Male,18,17
1861,i557,15,43.529875700000005,0,Capomulin,Female,1,24
1881,f966,15,32.62300253,0,Capomulin,Male,16,17
825,p981,15,49.65770973,0,Stelasyn,Male,20,29
1643,q483,15,48.4684826,1,Ceftamin,Male,6,26
118,r604,15,51.07452073,1,Naftisol,Male,7,30
650,r921,15,43.52726054,0,Ramicane,Female,5,25
14,g107,15,58.13554485,0,Ketapril,Female,2,29
630,e662,15,43.55377339,0,Ramicane,Male,8,24
657,a492,15,51.985262899999995,0,Stelasyn,Male,20,25
3,b128,15,43.78489343,0,Capomulin,Female,9,22
1653,f345,15,48.35223854,0,Infubinol,Male,23,26
113,v835,15,50.54520646,1,Naftisol,Male,7,29
820,k510,15,49.687051700000005,1,Stelasyn,Female,8,27
667,w540,15,48.25014636,2,Stelasyn,Female,8,26
1886,m601,15,35.46461175,1,Capomulin,Male,22,17
1871,m957,15,39.80445341,1,Capomulin,Female,3,19
1663,i334,15,39.15800115,0,Ramicane,Female,8,20
833,t451,15,49.65278772,0,Stelasyn,Male,8,29
548,a644,15,46.91089166,0,Ramicane,Female,7,17
558,i177,15,40.33093479,0,Ramicane,Male,10,18
432,f234,20,51.11271293,2,Stelasyn,Male,14,28
714,j755,20,55.49660753,1,Naftisol,Male,23,27
1779,w914,20,41.10809233,0,Capomulin,Male,24,21
724,s565,20,57.04618912,1,Stelasyn,Female,3,29
1184,c282,20,51.95057423,0,Placebo,Male,12,27
1074,a401,20,52.20451136,2,Zoniferol,Female,8,25
1234,x773,20,49.739712899999994,3,Placebo,Female,21,30
1244,w167,20,57.54815669,0,Placebo,Female,6,28
599,m546,20,36.71229535,0,Ramicane,Male,18,16
1061,o926,20,51.82663825,2,Zoniferol,Male,15,29
651,r921,20,44.13631588,0,Ramicane,Female,5,25
266,o809,20,50.33655288,1,Infubinol,Male,3,25
1369,y769,20,55.02572434,2,Ceftamin,Female,6,27
1789,i738,20,38.53113634,0,Capomulin,Female,23,20
1379,l661,20,52.61749003,1,Ceftamin,Male,18,26
45,p189,20,56.53020447,3,Ketapril,Male,8,28
440,c458,20,39.50513508,2,Ramicane,Female,23,20
317,u327,20,53.18987907,0,Ketapril,Male,17,25
1769,v923,20,39.64829568,0,Capomulin,Female,19,21
1749,u364,20,40.34394812,2,Capomulin,Male,18,17
1213,y478,20,56.84885016,1,Placebo,Female,3,25
248,k483,20,54.77896052,1,Infubinol,Female,20,30
741,p387,20,56.58761679999999,0,Stelasyn,Male,3,30
641,z578,20,36.89001635,0,Ramicane,Male,11,16
1887,m601,20,34.255731700000005,1,Capomulin,Male,22,17
844,a963,20,51.46373448,0,Stelasyn,Female,23,27
1759,j119,20,48.15820939,1,Capomulin,Female,7,23
1223,q582,20,51.18597648,2,Placebo,Male,5,30
1030,a788,20,54.06098332,1,Zoniferol,Male,5,30
1418,a685,20,49.49055902,0,Infubinol,Male,8,30
1203,o795,20,60.61005916,3,Placebo,Female,20,26
447,q610,20,46.58543347,0,Ramicane,Female,18,21
1037,s337,20,49.20205408,1,Zoniferol,Male,14,27
1406,w151,20,49.55426295,2,Ceftamin,Male,24,25
55,n923,20,52.59920611,1,Ketapril,Male,19,30
4,b128,20,42.731552,0,Capomulin,Female,9,22
365,c832,20,56.71023353,1,Ketapril,Male,18,29
734,a366,20,57.28598742,0,Stelasyn,Female,16,29
258,k804,20,54.48451945,0,Infubinol,Female,23,29
347,d474,20,51.73149416,0,Ketapril,Male,18,27
274,z581,20,51.80794416,2,Infubinol,Female,24,25
1882,f966,20,30.48598484,0,Capomulin,Male,16,17
1047,q511,20,52.67271205,0,Zoniferol,Female,2,28
1399,u149,20,50.37805789,0,Ceftamin,Male,24,29
1389,j296,20,54.00534209,3,Ceftamin,Female,24,30
1359,y865,20,52.36198241,1,Ceftamin,Male,23,26
1349,l471,20,52.22832698,0,Ceftamin,Female,7,28
375,o331,20,58.96572043,1,Ketapril,Male,24,30
1829,g288,20,42.95712001,1,Capomulin,Male,3,19
1308,x822,20,51.91490968,2,Ceftamin,Male,3,29
303,c580,20,55.57532195,2,Ketapril,Male,22,25
1303,k603,20,50.18010935,0,Propriva,Male,2,27
688,e291,20,52.53376479,1,Naftisol,Female,14,29
1272,c757,20,52.81863401,1,Placebo,Male,9,27
1129,a262,20,57.01331331,2,Placebo,Female,17,29
1164,c766,20,53.00686463,3,Placebo,Female,13,26
15,g107,20,62.70603145,0,Ketapril,Female,2,29
310,q132,20,51.90902494,4,Infubinol,Female,1,30
1293,a699,20,50.71242334,0,Propriva,Female,5,28
1119,q787,20,50.22993419,2,Placebo,Male,17,27
401,m550,20,53.75794476,3,Ketapril,Male,18,28
26,c819,20,49.76241475,1,Ketapril,Male,21,25
668,w540,20,50.67272745,2,Stelasyn,Female,8,26
395,v289,20,54.25005397,0,Ketapril,Female,3,26
678,z795,20,53.28065717,1,Naftisol,Female,13,29
385,m650,20,56.777938799999994,2,Ketapril,Male,15,27
1143,i669,20,50.87369027,1,Placebo,Female,18,27
621,s508,20,35.92865083,0,Ramicane,Male,1,17
1158,s152,20,62.35160945,2,Placebo,Female,4,30
1149,n763,20,49.25812581,1,Placebo,Female,16,25
